ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
PRSN11B	Personale I	Tijolo: Desenvolvimento	Oliveira Trust	0,0182	R$0,01	R$18,83 M	R$0,36	26/07/2011	Desenvolvimento para Venda Gestão Ativa	51.699.979	0,00931	0,01730	0,01730	4
PRSV11	Presidente Vargas	Tijolo: Escritórios	Hedge Investments DTVM LTDA	0,0127	R$1,62	R$46,94 M	R$240,72	31/10/2008	Renda Gestão Passiva	195.000	0,00083	0,00547	0,00547	10
PRTS11	Multi Properties	Tijolo: Shoppings	Banco Modal S.A.	0,0	R$0,00	R$3,61 M	R$0,06	--/--/--	Renda Gestão Ativa	55.727.500	-1.0	-1.0	0	0
PURB11	Plural Renda Urbana	Tijolo: Outros	Banco Genial	0,0	R$0,00	R$25,41 M	R$86,44	11/08/2021	Renda Gestão Ativa	293.971	-1.0	-1.0	0	0
PVBI11	VBI Prime Properties	Tijolo: Escritórios	BTG Pactual	0,0066	R$0,56	R$999,88 M	R$99,59	05/03/2020	Renda Gestão Ativa	10.039.493	0,00051	0,00572	0,00572	10
QAGR11	Quasar Agro	Tijolo: Outros	BTG Pactual	0,008	R$0,38	R$301,02 M	R$59,73	04/11/2019	Renda Gestão Ativa	5.040.000	0,00083	0,00725	0,00725	10
QAMI11	Quasar Crédito Imobiliário	Papel: CRIs	Banco Genial	0,015	R$1,40	R$71,99 M	R$89,83	22/02/2021	Híbrido Gestão Ativa	801.398	0,00350	0,01024	0,01024	7
QIRI11	Quatá Imob Recebíveis Imobiliários	Papel: Fundo de Fundos	BRL Trust DTVM	0,0064	R$0,55	R$13,21 M	R$88,09	07/05/2020	Títulos e Valores Mobiliários Gestão Passiva	150.000	0,00087	0,00633	0,00633	10
RBCO11	RB Capital Office Income	Tijolo: Escritórios	BRL Trust DTVM	0,008199999999999999	R$0,42	R$380,41 M	R$100,66	--/--/--	Renda Gestão Ativa	3.779.001	0,00074	0,00688	0,00688	10
RBDS11	RB Capital Desenvolvimento Residencial II	Tijolo: Desenvolvimento	Oliveira Trust	0,24	R$2,35	R$3,28 M	R$25,94	06/08/2010	Desenvolvimento para Venda Gestão Ativa	126.523	0,03000	0,02720	0,02720	10
RBED11	Rio Bravo Renda Educacional	Tijolo: Educacional	Rio Bravo Investimentos	0,0091	R$1,06	R$286,14 M	R$141,54	20/09/2011	Desenvolvimento para Renda Gestão Ativa	2.021.621	0,00046	0,00725	0,00725	10
RBFF11	Rio Bravo IFIX	Papel: Fundo de Fundos	BRL Trust DTVM	0,0091	R$0,47	R$248,07 M	R$66,17	22/03/2013	Títulos e Valores Mobiliários Gestão Ativa	3.749.215	0,00085	0,00723	0,00723	10
RBGS11	RB Capital General Shopping Sulacap	Tijolo: Shoppings	Oliveira Trust	0,0046	R$0,13	R$97,86 M	R$90,78	10/05/2011	Renda Gestão Passiva	1.078.000	0,00302	0,00500	0,00500	10
RBHG11	Rio Bravo Crédito Imobiliário High Grade	Papel: CRIs	BRL Trust DTVM	0,013300000000000001	R$1,10	R$165,98 M	R$96,08	17/07/2019	Títulos e Valores Mobiliários Gestão Ativa	1.727.582	0,00166	0,00891	0,00891	10
RBHY11	Rio Bravo Crédito Imobiliário High Yield	Papel: CRIs	BRL Trust DTVM	0,0152	R$1,50	R$155,72 M	R$98,45	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	1.581.644	0,00246	0,01086	0,01086	8
RBIR11	RB Capital Desenvolvimento Residencial IV	Tijolo: Desenvolvimento	Oliveira Trust	0,0	R$0,00	R$146,68 M	R$95,95	11/10/2019	Desenvolvimento para Venda Gestão Ativa	1.528.615	-1.0	-1.0	0	0
RBLG11	RB Capital Logístico	Tijolo: Galpões	BTG Pactual	0,0092	R$0,80	R$69,69 M	R$108,86	06/07/2020	Renda Gestão Ativa	640.199	0,00209	0,00580	0,00580	3
RBRD11	RB Capital Renda II	Tijolo: Varejo	Votorantim Asset Management	0,0040999999999999995	R$0,18	R$133,67 M	R$72,18	13/08/2007	Renda Gestão Passiva	1.851.786	0,00117	0,00141	0,00141	10
RBRF11	RBR Alpha Multiestratégia Real Estate	Papel: Fundo de Fundos	BTG Pactual	0,0088	R$0,60	R$1,15 B	R$84,29	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	13.680.770	0,00073	0,00709	0,00709	10
RBRL11	RBR LOG	Tijolo: Galpões	BRL Trust DTVM	0,0091	R$0,76	R$712,94 M	R$106,62	27/11/2019	Híbrido Gestão Ativa	6.687.035	0,00093	0,00663	0,00663	10
RBRM11	RBR Desenvolvimento	Tijolo: Desenvolvimento	BTG Pactual	0,0001	R$13,90	R$74,56 M	R$138.328,79	04/10/2016	Não Informado	539	-1.0	-1.0	0	0
RBRP11	RBR Properties	Tijolo: Escritórios	BRL Trust DTVM	0,0068000000000000005	R$0,46	R$1,02 B	R$83,87	--/--/--	Renda Gestão Ativa	12.179.187	0,00100	0,00515	0,00515	10
RBRR11	RBR Rendimento High Grade	Papel: CRIs	BTG Pactual	0,0097	R$0,90	R$1,03 B	R$99,70	18/04/2018	Títulos e Valores Mobiliários Gestão Ativa	10.362.300	0,00113	0,00785	0,00785	10
